ID,SENSSAvgMom,NotificationNum,NotificationNumQuad,NotificationNumCub
101,84.5,1,1,1
101,85,2,4,8
101,61,3,9,27
101,4.5,4,16,64
101,62,5,25,125
101,14,6,36,216
101,87,1,1,1
101,70,2,4,8
101,29.5,3,9,27
101,NA,4,16,64
101,16,5,25,125
101,21,6,36,216
101,26,1,1,1
101,NA,2,4,8
101,30.5,3,9,27
101,33.5,4,16,64
101,79.5,5,25,125
101,94.5,6,36,216
101,76.5,1,1,1
101,91,2,4,8
101,NA,3,9,27
101,77,4,16,64
101,64,5,25,125
101,NA,6,36,216
101,69,1,1,1
101,NA,2,4,8
101,NA,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,NA,6,36,216
101,NA,1,1,1
101,NA,2,4,8
101,NA,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,NA,6,36,216
101,90,1,1,1
101,NA,2,4,8
101,NA,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,NA,6,36,216
101,15.5,1,1,1
101,59.5,2,4,8
101,23,3,9,27
101,NA,4,16,64
101,43.5,5,25,125
101,NA,6,36,216
101,22.5,1,1,1
101,36,2,4,8
101,17,3,9,27
101,18,4,16,64
101,NA,5,25,125
101,17.5,6,36,216
101,26.5,1,1,1
101,14.5,2,4,8
101,27,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,54.5,6,36,216
101,59,1,1,1
101,NA,2,4,8
101,NA,3,9,27
101,1,4,16,64
101,NA,5,25,125
101,NA,6,36,216
101,NA,1,1,1
101,NA,2,4,8
101,29,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,NA,6,36,216
101,NA,1,1,1
101,NA,2,4,8
101,NA,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,37.5,6,36,216
101,NA,1,1,1
101,NA,2,4,8
101,NA,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,NA,6,36,216
101,NA,1,1,1
101,51,2,4,8
101,NA,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,NA,6,36,216
101,NA,1,1,1
101,NA,2,4,8
101,NA,3,9,27
101,NA,4,16,64
101,NA,5,25,125
101,NA,6,36,216
102,98,1,1,1
102,93,2,4,8
102,87,3,9,27
102,92.5,4,16,64
102,87.5,5,25,125
102,87.5,6,36,216
102,99,1,1,1
102,93.5,2,4,8
102,89.5,3,9,27
102,87.5,4,16,64
102,90.5,5,25,125
102,93.5,6,36,216
102,88.5,1,1,1
102,87.5,2,4,8
102,82.5,3,9,27
102,90,4,16,64
102,98,5,25,125
102,94,6,36,216
102,89,1,1,1
102,89.5,2,4,8
102,89.5,3,9,27
102,91.5,4,16,64
