ID,MinutesElapsed,SENSSAvgMom
101,60,84.5
101,248,85
101,320,61
101,443,4.5
101,555,62
101,598,14
101,,
101,60,87
101,263,70
101,344,29.5
101,378,
101,428,16
101,577,21
101,,
101,60,26
101,228,
101,293,30.5
101,363,33.5
101,505,79.5
101,575,94.5
101,,
101,60,76.5
101,239,91
101,317,
101,419,77
101,531,64
101,673,
101,,
101,60,69
101,239,
101,338,
101,393,
101,515,
101,564,
101,,
101,60,
101,228,
101,287,
101,390,
101,441,
101,473,
101,,
101,60,90
101,264,
101,348,
101,419,
101,465,
101,559,
101,,
101,60,15.5
101,222,59.5
101,298,23
101,412,
101,496,43.5
101,533,
101,,
101,60,22.5
101,242,36
101,317,17
101,401,18
101,480,
101,629,17.5
101,,
101,60,26.5
101,234,14.5
101,296,27
101,407,
101,537,
101,601,54.5
101,,
101,60,59
101,245,
101,321,
101,404,1
101,530,
101,585,
101,,
101,60,
101,237,
101,344,29
101,386,
101,448,
101,678,
101,,
101,60,
101,259,
101,342,
101,436,
101,540,
101,677,37.5
101,,
101,60,
101,236,
101,317,
101,352,
101,519,
101,642,
101,,
101,60,
101,273,51
101,354,
101,424,
101,519,
101,603,
101,,
101,60,
101,240,
101,297,
101,380,
101,454,
101,541,
101,,
102,250,98
102,460,93
102,505,87
102,580,92.5
102,696,87.5
102,819,87.5
102,,
102,250,99
102,489,93.5
102,528,89.5
102,618,87.5
102,654,90.5
102,818,93.5
102,,
102,250,88.5
102,490,87.5
102,524,82.5
102,617,90
102,658,98
102,783,94
102,,
102,250,89
102,462,89.5
102,536,89.5
102,628,91.5
102,661,100
102,773,94
102,,
102,250,85
102,495,100
102,554,
102,592,92
102,654,90.5
102,744,94
102,,
102,250,80.5
102,484,100
102,569,80.5
102,642,90
102,693,93.5
102,800,85
102,,
102,250,84
102,457,88.5
102,511,93
102,589,95
102,625,85.5
102,796,76
102,,
102,250,81.5
102,453,82
102,548,91
102,598,89.5
102,646,82
102,690,93.5
102,,
102,250,79
102,482,87
102,544,85.5
102,596,
102,667,92
102,728,90.5
102,,
102,250,79.5
102,475,87.5
102,544,73.5
102,616,81.5
102,707,95.5
102,786,81
102,,
102,250,80
102,483,
102,535,75.5
102,566,69.5
102,649,78.5
102,705,92.5
102,,
102,250,79.5
102,501,83
102,563,84
102,601,83.5
102,681,78
102,833,79.5
102,,
102,250,74.5
102,495,84.5
102,550,77
102,641,89.5
102,708,78.5
102,802,88
102,,
102,250,87.5
102,451,82.5
102,485,81.5
102,547,84.5
102,616,86
102,761,82.5
102,,
102,250,87.5
102,478,75
102,549,83
102,593,88.5
102,651,83.5
102,791,82
102,,
102,250,82.5
102,487,49.5
102,524,
102,602,89
102,663,86.5
102,716,82
102,,
102,250,81.5
102,495,80
102,570,84
102,642,
102,733,76.5
102,797,85
102,,
102,250,78
